AuthorYear,Authors,Title,Journal,Year,URL,Abstract,Relevant,Experiment,SourceType,SourceTypeNEW,Original,DataSourceReference,Country,YearsCovered,VarsSocioDemographic,VarPolBehavior,VarsOffices,VarsDistrict,VarsInteresting,Questions?
ALEMAN2009,"ALEM{\'A}N, E. D. U. A. R. D. O. CALVO, E. R. N. E. S. T. O. JONES, M. A. R. K. P. KAPLAN, N. O. A. H.",Comparing Cosponsorship and Roll-Call Ideal Points,LSQ,2009,http://www.jstor.org/stable/20680228,"We use bill cosponsorship and roll-call vote data to compare legislators' revealed preferences in the U.S. House of Representatives and the Argentine Chamber of Deputies. We estimate ideal points from bill cosponsorship data using principal-component analysis on an agreement matrix that included information on all bills introduced in the U.S. House (1973-2000) and Argentine Chamber (1983-2002). The ideal-point estimates of legislators' revealed preferences based on cosponsorship data strongly correlate with similar estimates derived from roll-call vote data. Also, cosponsorship activity in the U.S. House has lower dimensionality than cosponsorship has in the Argentine Chamber. We explain this lower discrimination as a function of individual- and district-level factors in both countries.",yes,no,scholarly;government,scholarly;government,assembly from multiple sources,"Bill Cosponsorship: Secretaria de Informacion Parlamentaria (Argentine Congress); Fowler, James. 2006. ""Connecting the Congress: A Study of Cosponsorship Networks."" Political Analysis 14: 456-87.
Ideal Points from roll-call data: Argentinia: Jones, Mark P., and Wonjae Hwang. 2005a. ""Party Government in Presidential Democracies: Extending Cartel Theory Beyond the U.S. Congress."" American Journal of Political Science 49: 267-83. USA: Poole, Keith T. 2005. Spatial Models of Parliamentary Voting. New York: Cambridge University Press. ","US House, Argentinia","1983-2002, 1973-2002",,yes,yes,yes,,
Ansolabehere2010,"Ansolabehere, Stephen Jones, Philip Edward",Constituents' Responses to Congressional Roll-Call Voting,AJPS,2010,http://www.jstor.org/stable/27821940,"Do citizens hold their representatives accountable for policy decisions, as commonly assumed in theories of legislative politics? Previous research has failed to yield clear evidence on this question for two reasons: measurement error arising from noncomparable indicators of legislators' and constituents' preferences and potential simultaneity between constituents' beliefs about and approval of their representatives. Two new national surveys address the measurement problem directly by asking respondents how they would vote and how they think their representatives voted on key roll-call votes. Using the actual votes, we can, in turn, construct instrumental variables that correct for simultaneity. We find that the American electorate responds strongly to substantive representation. (1) Nearly all respondents have preferences over important bills before Congress. (2) Most constituents hold beliefs about their legislators' roll-call votes that reflect both the legislators' actual behavior and the parties' policy reputations. (3) Constituents use those beliefs to hold their legislators accountable.",yes,no,journalistic,journalistic,original; assembly,Descriptions of votes used the Washington Post's U.S. Congress Votes Project; http://projects.washingtonpost.com/congress (last accessed 11/21/2007),US House US Senate,2005-2006,no,yes,no,yes,,
Anzia2011,"Anzia, Sarah F. Berry, Christopher R.",The Jackie (and Jill) Robinson Effect: Why Do Congresswomen Outperform Congressmen?,AJPS,2011,http://www.jstor.org/stable/23024932,"If voters are biased against female candidates, only the most talented, hardest working female candidates will succeed in the electoral process. Furthermore, if women perceive there to be sex discrimination in the electoral process, or if they underestimate their qualifications for office, then only the most qualified, politically ambitious females will emerge as candidates. We argue that when either or both forms of sex-based selection are present, the women who are elected to office will perform better, on average, than their male counterparts. We test this central implication of our theory by studying the relative success of men and women in delivering federal spending to their districts and in sponsoring legislation. Analyzing changes within districts over time, we find that congresswomen secure roughly 9% more spending from federal discretionary programs than congressmen. Women also sponsor and cosponsor significantly more bills than their male colleagues.",yes,no,original,original,original; assembly,"Adler, E. Scott. 2003. ""Congressional District Data File, 98th to 105th Congresses."" University of Colorado, Boulder, CO; US Census",US House,1984-2004,yes,yes,yes,yes,widow status,
BAFUMI2010,"BAFUMI, J. O. S. E. P. H. HERRON, M. I. C. H. A. E. L. C.",Leapfrog Representation and Extremism: A Study of American Voters and Their Members in Congress,APSR,2010,http://www.jstor.org/stable/40863767,"We consider the relationship between the preferences of American voters and the preferences of the U.S. legislators who represent them. Using an Internet-based, national opinion survey in conjunction with legislator voting records from the 109th and 110th Congresses, we show that members of Congress are more extreme than their constituents, i.e., that there is a lack of congruence between American voters and members of Congress. We also show that when a congressional legislator is replaced by a new member of the opposite party, one relative extremist is replaced by an opposing extremist. We call this leapfrog representation, a form of representation that leaves moderates with a dearth of representation in Congress. We see evidence of leapfrog representation in states and House districts and in the aggregate as well: the median member of the 109th House was too conservative compared to the median American voter, yet the median of the 110th House was too liberal. Thus, the median American voter was leapfrogged when the 109th House transitioned to the 110th. Although turnover between the 109th and 110th Senates occurred at approximately the same rate as between the 109th and 110th Houses, the Senate appears to be a more moderate institution whose median member does not move as abruptly as that of the House.",yes,no,scholarly,scholarly,original; assembly,"Roll call records: 1 Congressional roll call records were compiled by Keith rooie and Jeffrey Lewis. See http://www.voteview.com and http://adric.sscnet.ucla.edu/rollcall (Accessed August 9, 2",US House US Senate,2005-2008,no,yes,no,yes,,
Barber2017,"Barber, Michael J. Canes-Wrone, Brandice Thrower, Sharece",Ideologically Sophisticated Donors: Which Candidates Do Individual Contributors Finance?,AJPS,2017,http://www.jstor.org/stable/26384731,"Individuals are the single largest source of campaign contributions, yet we know little about their motivations. For instance, the existing literature questions whether individual contributors sophisticatedly differentiate among candidates according to policy positions, particularly among same-party candidates. We analyze this issue by combining data from a new survey of over 2,800 in- and out-of-state donors associated with the 2012 Senate elections, FEC data on contributors' professions, and legislative records. Three major findings emerge. First, policy agreement between a donor's positions and a senator's roll calls significantly influences the likelihood of giving, even for same-party contributors. Second, there is a significant effect of committee membership corresponding to a donor's occupation this holds even for donors who claim that other motivations dominate, but it does not appear to be motivated by an expectation of access. Third, conditional upon a donation occurring, its size is determined by factors outside a legislator's control.",yes,no,original;government,original;government,assembly from multiple sources,"United States, Congress, “Federal Election Commission Database 2012.” Federal Election Commission Database 2012, FEC, 2012.",US Senate,2010-2012,yes,yes,yes,yes,,
Bateman2017,"Bateman, David A. Clinton, Joshua D. Lapinski, John S.","A House Divided? Roll Calls, Polarization, and Policy Differences in the U.S. House, 1877--2011",AJPS,2017,http://www.jstor.org/stable/26379519,"The study of political conflict in legislatures is fundamental to understanding the nature of governance, but also difficult because of changes in membership and the issues addressed over time. Focusing on the enduring issue of civil rights in the United States since Reconstruction, we show that using current methods and measures to characterize elite ideological disagreements makes it hard to interpret or reconcile the conflicts with historical understandings because of their failure to adequately account for the policies being voted upon and the consequences of the iterative lawmaking process. Incorporating information about the policies being voted upon provides a starkly different portrait of elite conflict---not only are contemporary parties relatively less divided than is commonly thought, but the conflict occurs in a smaller, and more liberal, portion of the policy space. These findings have important implications for a broad range of work that uses elite actions to compare political conflict/polarization across time.",yes,no,original;scholarly;government,original;scholarly;government,assembly,"Boschee, Elizabeth; Lautenschlager, Jennifer; O'Brien, Sean; Shellman, Steve; Starz, James; Ward, Michael, 2015, ""ICEWS Coded Event Data"", https://doi.org/10.7910/DVN/28075, Harvard Dataverse, V25",US House,1887-2011,yes,yes,no,no,,data from many sources?
BERNHARD2013,"BERNHARD, W. I. L. L. I. A. M. SULKIN, T. R. A. C. Y.",Commitment and Consequences: Reneging on Cosponsorship Pledges in the U.S. House,LSQ,2013,http://www.jstor.org/stable/42703816,"We argue that bill cosponsorship in Congress represents an institutional arrangement that provides credibility to commitments of support. We predict that if cosponsorship fosters legislative deals, MCs will only rarely back out on their pledges to support a bill if it comes up for a floor vote, and when they do, these choices will reflect strategic calculations. Further, legislators who violate their cosponsorship agreements will face punishment from colleagues, compromising their ability to gain support for their own bills. We explore the causes and effects of MCs' choices to renege on a pledge by voting no on a bill for which they were a cosponsor, focusing on all cosponsorship decisions in the 101st-108th Houses. The results reveal that patterns of reneging and its consequences are consistent with the idea that cosponsorship functions as a commitment mechanism.",yes,no,scholarly;government,scholarly,assembly from multiple sources,"James H. Fowler. In: Political Analysis. 14(4):456-487; Oxford University Press, 2006. Language: English, Database: JSTOR Journals; Scott, Adler E, and John Wilkerson. “Congressional Bills Project.”",US House,1989-2004,no,yes,yes,no,,
Berry2010a,"Berry, Christopher R. Burden, Barry C. Howell, William G.",The President and the Distribution of Federal Spending,APSR,2010,http://www.jstor.org/stable/40982897,"Scholarship on distributive politics focuses almost exclusively on the internal operations of Congress, paying particular attention to committees and majority parties. This article highlights the president, who has extensive opportunities, both ex ante and ex post, to influence the distribution of federal outlays. We analyze two databases that track the geographic spending of nearly every domestic program over a 24-year period---the largest and most comprehensive panels of federal spending patterns ever assembled. Using district and county fixed-effects estimation strategies, we find no evidence of committee influence and mixed evidence that majority party members receive larger shares of federal outlays. We find that districts and counties receive systematically more federal outlays when legislators in the president's party represent them.",yes,no,scholarly,scholarly,assembly from multiple sources,many,"US, Italy, many", ,yes,yes,yes,yes,,many sources of data; many variables; needs further examination
Berry2016,"Berry, Christopher R. Fowler, Anthony",Cardinals or Clerics? Congressional Committees and the Distribution of Pork,AJPS,2016,http://www.jstor.org/stable/24877489,"Journalistic and academic accounts of Congress suggest that important committee positions allow members to procure more federal funds for their constituents, but existing evidence on this topic is limited in scope and has failed to distinguish the effects of committee membership from selection onto committees. We bring together decades of data on federal outlays and congressional committee and subcommittee assignments to provide a comprehensive analysis of committee positions and distributive politics across all policy domains. Using a within-member research design, we find that seats on key committees produce little additional spending. The chairs of the Appropriations subcommittees---the so called cardinals"" of Congress---are an exception to the rule. These leadership positions do generate more funding for constituents but only from programs under the jurisdiction of their subcommittee. Our results paint a new picture of distributive politics and call for a reexamination of its canonical theories.""",yes,no,scholarly; government,scholarly; government,assembly from multiple sources,"Bickers, Kenneth N., and Robert N. Stein. 1991. Federal Domestic Outlays, 1983-1990: A Data Book. Armonk, NY: ME Sharp Inc.",US House and Senate,1984-2010,no,yes,yes,no,,
Bertelli2009,"Bertelli, Anthony M. Grose, Christian R.",Secretaries of Pork? A New Theory of Distributive Public Policy,JOP,2009,http://www.jstor.org/stable/10.1017/s002238160909080x,"Scholars have focused attention toward congressional influence over distributive grant allocations, but they have less frequently examined the extent to which administrative agencies play a role in that process. We present a new theory of ideology-contingent executive decision making within a multiple-principals framework to explain the geographic distribution of policy benefits. Our theory is novel in that it locates interbranch ideological conflict and confluence at the center of bureaus' allocational strategies. Discretionary Department of Labor (DOL) grants and Department of Defense (DOD) contracts from 1991 to 2002 are examined to provide evidence that agencies deliver more grants to senators with proximate ideologies. To measure bureaucratic ideology, we generate comparable ideology estimates for cabinet secretaries, presidents, and members of the U.S. Senate via an item-response model. Our findings suggest that ideological congruence between senators and DOL or DOD is associated with significantly larger amounts of grants or contracts, respectively. These findings are important as they recast our understanding of distributive politics into ideological terms.",maybe,no,scholarly; government,scholarly; government,original; assembly from multiple sources,"U.S. Census Consolidated Federal Funds Report http://www.census.gov/govs/www/cffr.html.; Bickers, Kenneth N., and Robert M. Stein. 1996. ‘‘The Electoral Dynamics of the Federal Pork Barrel.’’ AJPS",US House and Senate,1991-2002,yes,yes,yes,yes,secretary-senator ideaological divergence,
